Profile	Education	Gender	Country of Origin	Reason for Application	Job	Job Experience	Job Plans	Prior Entry	Language Skills
10945	high school	female	Mexico	reunite with family	construction worker	none	will look for work	many times as tourist	broken English
10946	two-year college	female	China	escape persecution	doctor	5+ years	contract with employer	never	tried English but unable
10947	two-year college	female	India	reunite with family	doctor	5+ years	interviews with employer	many times as tourist	fluent English
10948	graduate degree	female	Iraq	seek better job	gardener	1-2 years	contract with employer	never	tried English but unable
10949	graduate degree	female	India	seek better job	waiter	3-5 years	interviews with employer	once w/o authorization	broken English
10950	college degree	female	India	reunite with family	child care provider	3-5 years	contract with employer	once as tourist	tried English but unable
10951	two-year college	female	Sudan	seek better job	research scientist	5+ years	contract with employer	never	tried English but unable
10952	graduate degree	male	Mexico	seek better job	child care provider	5+ years	will look for work	once as tourist	broken English
10953	two-year college	male	Mexico	seek better job	research scientist	none	interviews with employer	once as tourist	broken English
10954	graduate degree	female	Somalia	reunite with family	computer programmer	1-2 years	contract with employer	never	broken English
10955	4th grade	female	Germany	seek better job	nurse	1-2 years	contract with employer	once w/o authorization	tried English but unable
10956	high school	male	Sudan	escape persecution	gardener	none	contract with employer	never	broken English
10957	4th grade	female	China	seek better job	nurse	5+ years	will look for work	once as tourist	used interpreter
10958	8th grade	male	China	seek better job	teacher	3-5 years	interviews with employer	six months with family	used interpreter
10959	4th grade	male	Sudan	escape persecution	janitor	1-2 years	interviews with employer	once w/o authorization	fluent English
10960	no formal	female	Germany	seek better job	waiter	1-2 years	no plans to look for work	never	broken English
10961	8th grade	female	Iraq	escape persecution	construction worker	5+ years	interviews with employer	six months with family	fluent English
10962	high school	male	Somalia	seek better job	gardener	none	no plans to look for work	once w/o authorization	tried English but unable
10963	8th grade	male	Somalia	reunite with family	janitor	3-5 years	will look for work	once as tourist	fluent English
10964	8th grade	male	Iraq	seek better job	janitor	none	contract with employer	once w/o authorization	broken English
10965	graduate degree	female	Poland	seek better job	janitor	3-5 years	will look for work	many times as tourist	used interpreter
10966	two-year college	female	Mexico	seek better job	child care provider	1-2 years	no plans to look for work	many times as tourist	fluent English
10967	graduate degree	female	Poland	reunite with family	gardener	none	interviews with employer	many times as tourist	fluent English
10968	two-year college	female	Poland	seek better job	teacher	1-2 years	contract with employer	once w/o authorization	tried English but unable
10969	two-year college	female	Iraq	seek better job	financial analyst	1-2 years	will look for work	many times as tourist	fluent English
10970	4th grade	female	France	seek better job	nurse	none	no plans to look for work	six months with family	broken English
10971	4th grade	male	Iraq	reunite with family	waiter	5+ years	interviews with employer	many times as tourist	tried English but unable
10972	no formal	male	France	reunite with family	child care provider	none	interviews with employer	never	fluent English
10973	graduate degree	female	Philippines	reunite with family	financial analyst	5+ years	contract with employer	once w/o authorization	tried English but unable
10974	8th grade	female	Somalia	escape persecution	child care provider	1-2 years	interviews with employer	many times as tourist	used interpreter
10975	8th grade	female	Sudan	escape persecution	waiter	1-2 years	will look for work	never	broken English
10976	no formal	female	Germany	reunite with family	child care provider	1-2 years	no plans to look for work	never	fluent English
10977	high school	female	Somalia	seek better job	gardener	5+ years	contract with employer	many times as tourist	used interpreter
10978	high school	male	Philippines	seek better job	waiter	5+ years	will look for work	once as tourist	tried English but unable
10979	4th grade	male	Poland	seek better job	nurse	1-2 years	contract with employer	six months with family	broken English
10980	college degree	male	Sudan	reunite with family	computer programmer	none	interviews with employer	once w/o authorization	fluent English
10981	no formal	female	Poland	reunite with family	construction worker	1-2 years	will look for work	once as tourist	tried English but unable
10982	8th grade	female	Iraq	escape persecution	waiter	none	contract with employer	once as tourist	tried English but unable
10983	4th grade	male	Iraq	escape persecution	janitor	3-5 years	contract with employer	many times as tourist	fluent English
10984	no formal	female	Mexico	seek better job	construction worker	none	will look for work	never	tried English but unable
10985	no formal	female	Iraq	seek better job	nurse	1-2 years	will look for work	many times as tourist	fluent English
10986	no formal	male	India	reunite with family	janitor	3-5 years	will look for work	once as tourist	used interpreter
10987	college degree	male	Somalia	escape persecution	janitor	5+ years	contract with employer	once w/o authorization	broken English
